feature1,feature2,feature3,category,target
2.0782185161078925,2.1381609773127024,2.2852222556041166,A,11.620245395863794
1.1565305453298287,0.5594304363557283,8.962964949141018,A,7.127436248891895
8.676506047496177,17.19195891242015,10.443627989158145,C,4.224627239584019
5.271916044917271,6.035531219863494,9.567351839070852,C,11.240697210396608
3.694442359264353,9.220437920531847,8.56575114401373,B,4.209399905586336
9.175943112790003,14.93265590986536,10.604881654740986,A,1.0781847377418723
3.463927501609092,14.371388501118611,5.953037771622732,C,1.650129706628663
7.523858001665278,9.896081476378008,10.475207677263084,A,1.783353501267295
6.39592802981109,1.4184030212827512,10.253318670856794,B,2.9659393024908365
7.022204951173381,7.6755561841538675,2.406712475222993,B,8.19080839454362
6.067214550514592,7.358128951657744,1.1347259326444084,B,10.493368522788105
8.719172850047782,14.703214042766241,6.294953723155725,B,2.129682679796096
8.96391756447918,14.643017735339457,8.630745859337129,C,7.852560377621849
1.5026435026396376,12.937834379068187,4.103115629645951,B,2.5322618863637802
1.9440242726302652,18.264275931373795,0.9998427533792369,A,0.27303397430510135
8.506282583893848,9.298828460041102,10.90753998613835,B,12.544434755136168
5.706997216194211,7.884134084727151,5.812739929422218,C,5.447895123830405
3.9170635027692167,12.126909965804966,1.2215661058843335,B,12.285692259725323
3.8660469925765373,13.770275419620063,4.410096983191873,C,2.1631716112353843
4.07420767249535,14.06432180731952,10.764574391343094,B,1.3452341158789434
3.801635441391515,3.816599851754759,9.13646827287945,B,9.682168123126987
3.2557275118653624,1.0170787710130376,2.56970568435565,B,10.592300295838207
4.01999900753732,0.2817657090451873,10.701996538014239,C,7.995632066117132
3.6055958195018745,7.554374224616548,0.7357098192178321,A,9.29233851966437
1.230061472684709,16.411014979593812,8.257038971868898,C,-0.0963794773240156
2.5235985427669654,6.578098385682523,4.547660545049182,C,10.739418464327276
7.313051993765828,14.00428441802921,4.0783156999980035,C,2.4710048509496096
8.195098428367722,2.7099558932214185,1.86502097792905,A,4.698334015356082
9.66952829349168,14.971911896897462,10.93524705688971,A,9.650268626166522
1.4538362108918332,2.4082158151147777,9.427531175142617,B,5.422104285776163
2.6261175489882076,6.8742262485594265,6.334584338455761,C,2.543039482813631
2.9452901749563063,7.039935904826365,7.912227459267978,C,6.3862669786419195
8.266328515333901,19.61922228197703,6.923575175065761,C,4.948679240506315
2.1298160942847146,13.450991361705485,9.038128636406963,C,7.383704017641505
0.6311929726005352,3.8069667011789057,8.916981425097214,A,2.020402627390862
4.6994419025884895,17.848799684534388,4.461150821584887,A,4.496937424857263
8.077698661527219,16.89056964916651,3.4503152149696033,B,10.27247591821736
0.782832148621391,7.332212374743529,2.4746517432792334,B,9.37045861508712
1.2025790217452743,1.6773512909029946,4.816450226190118,B,2.1925832394256393
3.8012810775037678,8.077874105515555,0.7765107870179686,A,10.013586838068504
4.368255393927726,14.986711011482889,6.226873201116878,C,11.640663586540645
3.0980672106242317,13.069134406866986,9.932160248482933,A,12.342357659869911
7.3914083990946855,0.36356806821705207,0.8295551524593822,A,2.046598443757679
